"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 11 21:27:26 ICT 2024","Thu Jul 11 21:28:07 ICT 2024","40797","firefox","e2e.spec.js","","","","@WEB Test Transaction Valid with 2 item",""
"passed","Thu Jul 11 21:27:04 ICT 2024","Thu Jul 11 21:27:21 ICT 2024","17114","chromium","filterProduct.spec.js","","","","Testing Filter Using AZ",""
"passed","Thu Jul 11 21:29:00 ICT 2024","Thu Jul 11 21:29:09 ICT 2024","9880","Google Chrome","e2e.spec.js","","","","@WEB Test Transaction Valid with 2 item",""
"passed","Thu Jul 11 21:28:41 ICT 2024","Thu Jul 11 21:28:50 ICT 2024","9900","Microsoft Edge","filterProduct.spec.js","","","","Testing Filter Using ZA",""
"passed","Thu Jul 11 21:28:32 ICT 2024","Thu Jul 11 21:28:36 ICT 2024","3992","webkit","login.spec.js","","","","Testing Block User",""
"passed","Thu Jul 11 21:28:36 ICT 2024","Thu Jul 11 21:28:45 ICT 2024","9201","Microsoft Edge","e2e.spec.js","","","","@WEB Test Transaction Valid with 3 item",""
"passed","Thu Jul 11 21:29:07 ICT 2024","Thu Jul 11 21:29:10 ICT 2024","3409","Google Chrome","filterProduct.spec.js","","","","Testing Filter Using hilo",""
"passed","Thu Jul 11 21:27:23 ICT 2024","Thu Jul 11 21:27:25 ICT 2024","2332","chromium","login.spec.js","","","","Testing Block User",""
"passed","Thu Jul 11 21:29:09 ICT 2024","Thu Jul 11 21:29:16 ICT 2024","6530","Google Chrome","login.spec.js","","","","Testing Block User",""
"passed","Thu Jul 11 21:28:13 ICT 2024","Thu Jul 11 21:28:26 ICT 2024","13160","webkit","filterProduct.spec.js","","","","Testing Filter Using AZ",""
"passed","Thu Jul 11 21:28:51 ICT 2024","Thu Jul 11 21:28:57 ICT 2024","5770","Microsoft Edge","login.spec.js","","","","Testing Block User",""
"passed","Thu Jul 11 21:29:07 ICT 2024","Thu Jul 11 21:29:11 ICT 2024","3169","Google Chrome","login.spec.js","","","","Testing Username Empty",""
